GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
1-and-1 :: Bill of Materials Plugin for Maven,net.oneandone.maven.plugins.billofmaterials,ToFileFunction,0,6,0,0,0,2,0,2,0,2
1-and-1 :: Bill of Materials Plugin for Maven,net.oneandone.maven.plugins.billofmaterials,ReadBillOfMaterialsMojo,0,48,0,0,0,12,0,3,0,3
1-and-1 :: Bill of Materials Plugin for Maven,net.oneandone.maven.plugins.billofmaterials,CreateBillOfMaterialsMojo,1,218,1,7,0,43,1,12,0,9
1-and-1 :: Bill of Materials Plugin for Maven,net.oneandone.maven.plugins.billofmaterials,AbstractBillOfMaterialsMojo,0,18,0,0,0,8,0,4,0,4
1-and-1 :: Bill of Materials Plugin for Maven,net.oneandone.maven.plugins.billofmaterials,ToBomStringFunction,0,38,0,0,0,8,0,2,0,2
